EST_ORIGINAL_COMPLETION_DATE,coordinates,APPROXIMATE_GFA,FMEL_UPD_D,ADDRESS_MYENV,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,DESCRIPTION,ADDRESSBUILDINGNAME,ADDRESSBLOCKHOUSENUMBER,AWARDED_DATE,INC_CRC,PHOTOURL,NAME,INFO_ON_CO_LOCATORS,HUP_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,LANDXADDRESSPOINT,IMPLEMENTATION_DATE
1965,"103.827358017197,1.28882210205212,0.0",1733.074,20221012163049,"38A, Beo Crescent, Singapore 169982",Beo Crescent,169982,HUP Standard Upgrading,,38A,,D232402B83EFCDF5,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,Beo Crescent Market,,18/1/2010,Existing,30136.92,27336.64,
1975,"103.856853966617,1.30733651651517,0.0",2568.95,20221012163049,"166, Jalan Besar, Singapore 208877",Jalan Besar,208877,HUP Standard Upgrading,,166,,A7CCEB2CE987B820,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,Berseh Food Centre,,5/3/2004,Existing,32184.16,30619.27,
2/1/1976,"103.712799765872,1.3452231627967,0.0",,20221012163049,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",Boon Lay Place,641221,HUP Reconfiguration,,221A/B,,84F8C2B46CAB5C4D,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),,1/8/2004,Existing,36373.79,14587.57,
31/10/1980,"103.850530969624,1.30620584090733,0.0",,20221012163049,"Blk 665, Buffalo Road, Singapore 210665",Buffalo Road,210665,HUP Standard Upgrading,,665,,D09ADF34C362D244,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),,30/6/2009,Existing,32059.13,29915.58,
5/5/1980,"103.816992390295,1.28369258928085,0.0",,20221012163049,"Blk 163, Bukit Merah Central, Singapore 150163",Bukit Merah Central,150163,Opted out of HUP,,163,,16F0047AA3A7B03C,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),,,Existing,29569.73,26183.03,
14/9/1978,"103.804489277779,1.28629777221659,0.0",,20221012163049,"Blk 120, Bukit Merah Lane, Singapore 150120",Bukit Merah Lane 1,150120,HUP Standard Upgrading,,120,,98A3C26DD6CD2F81,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),,15/11/2010,Existing,29857.81,24791.54,
29/3/1973,"103.822049361292,1.28550478314618,0.0",,20221012163049,"Blk 115, Bukit Merah View, Singapore 151115",Bukit Merah View,151115,HUP Standard Upgrading,,115,,7A2BDBF5830376A7,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),,28/2/2012,Existing,29770.11,26745.83,
31/7/2015,"103.772489583206,1.37760053528611,0.0",4500,20221012163049,"2 Bukit Panjang Ring Road, Singapore 679947",Bukit Panjang Ring Road,679947,New Centre,,2,,2FEB0DCC8CCF59D4,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,Bukit Panjang Hawker Centre,,,Existing (new),39953.67,21230.49,
1975,"103.775995008012,1.33937596351523,0.0",3310.64,20221012163049,"51, Upper Bukit Timah Road, Singapore 588215",Upper Bukit Timah Road,588215,HUP Standard Upgrading,,51,,FD4DDC8C07732176,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,Bukit Timah Market,,2/1/2003,Existing,35726.98,21620.5,
18/12/1981,"103.850225081031,1.31615991374589,0.0",,20221012163049,"Blk 41A, Cambridge Road, Singapore 211041",Cambridge Road,211041,HUP Reconfiguration,,41A,,FBD170F30CEE818F,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),,7/3/2003,Existing,33159.8,29881.53,
12/11/1975,"103.988245749103,1.38915172065006,0.0",,20221012163049,"Blk 2/3, Changi Village Road, Singapore 500002/500003",Changi Village Road,500002,HUP Standard Upgrading,,2&3,,DC5973E8A24B7C85,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,Changi Village Blk 2 and 3,,28/12/2012,Existing,41231.42,45241.4,
1972,"103.866536130299,1.36422852315868,0.0",613.55,20221012163049,"20, Kensington Park Road, Singapore 557269",Kensington Park Road,557269,HUP Standard Upgrading,,20,,FD83AAB0BD194D68,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,Chomp Chomp Food Centre,,31/3/2004,Existing,38475,31696.72,
2/7/2015,"103.882977999397,1.37542896666561,0.0",2047.29,20221012163049,"51 Hougang Avenue 9, Singapore 538776",Hougang Avenue 9,538776,New Centre,,51,,2AA90E9CB7222D3A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,Ci Yuan Hawker Centre,hawker centre/community club/family medicine clinic/senior care centre,,Existing (new),39713.52,33526.48,
31/3/1971,"103.885043500019,1.32644992167231,0.0",,20221012163049,"Blk 79/79A, Circuit Road, Singapore 370079/371079",Circuit Road,370079,HUP Standard Upgrading,,79/79A,,B1F15E00F852A8E2,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,Circuit Road Blk 79/79A,,11/5/2010,Existing,34297.67,33756.46,
1/9/1967,"103.887128535137,1.32784956142548,0.0",,20221012163049,"Blk 80, Circuit Road, Singapore 370080",Circuit Road,370080,HUP Reconfiguration,,80,,3BE7F742CBA359E0,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),,22/2/2003,Existing,34452.44,33988.5,
1/9/1967,"103.885449224256,1.32344525333847,0.0",,20221012163049,"Blk 89, Circuit Road, Singapore 370089",Circuit Road,370089,HUP Standard Upgrading,,89,,4EDE2CCE7F5DCE1F,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,Circuit Road Blk 89,,8/4/2009,Existing,33965.43,33801.62,
26/1/1978,"103.770836740843,1.31436772839327,0.0",,20221012163049,"Blk 353, Clementi Ave 2, Singapore 120353",Clementi Ave 2,120353,HUP Standard Upgrading,,353,,42176A300DC70AF6,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),,25/10/2012,Existing,32961.71,21046.37,
12/1/1980,"103.764510533078,1.31326486994113,0.0",,20221012163049,"Blk 448, Clementi Ave 3, Singapore 120448",Clementi Ave 3,120448,HUP Standard Upgrading,,448,,FDAC6B27AB208E31,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,Clementi Ave 3 Blk 448,,29/10/2010,Existing,32839.78,20342.32,
29/11/1980,"103.764264410293,1.3037819726711,0.0",,20221012163049,"Blk 726, Clementi West Street 2, Singapore 120726",Clementi West Street 2,120726,HUP Standard Upgrading,,726,,3B5F054B925A30B9,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155262246.jpg,Clementi West Street 2 Blk 726,,26/11/2009,Existing,31791.21,20314.9,
1965,"103.800362825517,1.3068922760844,0.0",3040.58,20221012163049,"31, Commonwealth Crescent, Singapore 149644",Commonwealth Crescent,149644,HUP Rebuilding,,31,,35C408FD216C2404,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg,Commonwealth Crescent Market,,18/8/2004,Existing,32135.05,24332.33,
16/11/1981,"103.797875477439,1.29971330531884,0.0",,20221012163049,"Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003",Commonwealth Drive,141001,HUP Standard Upgrading,,1A/2A/3A,,B823DC7764C2C957,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),,15/1/2010,Existing,31341.24,24055.5,
1974,"103.90182514721,1.30941418731185,0.0",984,20221012163049,"271, Onan Road, Singapore 424768",Onan Road,424768,HUP Standard Upgrading,,271,,5924E489E4CEB0EB,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg,Dunman Food Centre,,3/12/2002,Existing,32413.99,35624.14,
1978,"103.935016747249,1.30668431820832,0.0",3600.16,20221012163049,"1220, East Coast Parkway, Singapore 468960",East Coast Parkway,468960,HUP Rebuilding,,1220,,1D6E51B4E1D233F8,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg,East Coast Lagoon Food Village,,10/12/2003,Existing,32112.26,39318.07,
26/3/1976,"103.805636386821,1.31624573118373,0.0",,20221012163049,"Blk 7, Empress Road, Singapore 260007",Empress Road,260007,HUP Standard Upgrading,,7,,2DAAEFC7E956D1E6,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg,Empress Road Blk 7 (Empress Road Market and Food Centre),,2/12/2008,Existing,33169.3,24919.24,
16/1/1974,"103.870004415152,1.32146226027018,0.0",,20221012163049,"Blk 69, Geylang Bahru, Singapore 330069",Geylang Bahru,330069,Opted out of HUP,,69,,1CDA7137229B703E,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),,,Existing,33746.13,32082.77,
3/7/2009,"103.898224315881,1.3167281476983,0.0",11534.9,20221012163049,"1, Geylang Serai, Singapore 402001",Geylang Serai,402001,HUP Rebuilding,,,,A247BF61CE06DAC1,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg,Geylang Serai Market,,3/7/2009,Existing,33222.72,35223.38,
24/1/1977,"103.788230657145,1.31099627311591,0.0",,20221012163049,"Blk 20, Ghim Moh Road, Singapore 270020",Ghim Moh Road,270020,Opted out of HUP,,20,,8A5C1B4701C41095,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg,Ghim Moh Road Blk 20,,,Existing,32588.87,22982.14,
1975,"103.863883249985,1.30287548090781,0.0",6249.229,20221012163049,"505, Beach Road, Singapore 199583",Beach Road,199583,HUP Standard Upgrading,,505,,68D21092867E51D3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg,Golden Mile Food Centre,,4/7/2002,Existing,31690.89,31401.57,
30/7/1977,"103.895609494855,1.3151420505272,0.0",,20221012163049,"Blk 13/14, Haig Road, Singapore 430013/430014",Haig Road,430013,HUP Reconfiguration,,13/14,,110148A55D9E2AFA,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),,4/8/2010,Existing,33047.33,34932.38,
16/11/1969,"103.829626834637,1.28797543998733,0.0",,20221012163049,"Blk 22A/B, Havelock Road, Singapore 161022/162022",Havelock Road,161022,HUP Standard Upgrading,,22A/B,,1CFBA3CB00902F92,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),,27/4/2007,Existing,30043.3,27589.14,
6/8/2016,"103.939726160039,1.35386211773287,0.0",2241,20221012163049,"1 Tampines Walk, Singapore 528523",Tampines Walk,528523,New Centre,Our Tampines Hub,1,7/5/2014,17E2D59B253CC806,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,Hawker Centre @ Our Tampines Hub,hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre,,Existing (new),37328.97,39841.96,1/8/2013
25/5/2000,"103.837031803823,1.35200744198417,0.0",,20221012163049,"Blk 320, Shunfu Road, Singapore 570320",Shunfu Road,570320,Not eligible for HUP,,320,,93EF4005B9CA475E,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg,Shunfu Road Blk 320 (Shunfu Mart),,,Existing,37123.63,28413.24,
20/9/1976,"103.879417030673,1.31708335109103,0.0",,20221012163049,"Blk 49, Sims Place, Singapore 380049",Sims Place,380049,HUP Reconfiguration,,49,,87604B5A2F6B6C68,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg,Sims Place Blk 49 (Sims Vista Market and Food Centre),,15/11/2006,Existing,33261.95,33130.31,
31/5/1983,"103.843177616296,1.28223514826381,0.0",,20221012163049,"Blk 335, Smith Street, Singapore 050335",Smith Street,50335,HUP Reconfiguration,,335,,B4A7F7D0E5A23171,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg,Smith Street Blk 335 (Chinatown Complex Market),,30/4/2008,Existing,29408.57,29097.23,
23/3/2005,"103.721519868629,1.33458935951076,0.0",7770.3,20221012163049,"3, Yung Sheng Road, Singapore 618499",Yung Sheng Road,618499,HUP Rebuilding,,3,,45EB3EEBFB324214,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg,Taman Jurong Market and Food Centre,,23/3/2005,Existing,35197.91,15557.97,
30/11/1982,"103.944624481151,1.3456395210229,0.0",,20221012163049,"Blk 137, Tampines Street 11, Singapore 521137",Tampines Street 11,521137,HUP Reconfiguration,,137,,F6017D5F9EB547CC,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),,8/1/2006,Existing,36419.78,40387.13,
1964,"103.797625756738,1.30078931480841,0.0",2030.92,20221012163049,"48A, Tanglin Halt Road, Singapore 148813",Tanglin Halt Road,148813,HUP Standard Upgrading,,48A,,74052054E3CC3AB3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg,Tanglin Halt Market,,1/10/2003,Existing,31460.22,24027.71,
18/4/1977,"103.843166992138,1.27661461066321,0.0",,20221012163049,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",Tanjong Pagar Plaza,81006,HUP Standard Upgrading,,6,,90C2DF392AE4A99D,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),,27/12/2013,Existing,28787.08,29096.05,
1/11/1976,"103.742891623681,1.32084835041654,0.0",,20221012163049,"Blk 37A, Teban Garden Road, Singapore 601037",Teban Gardens Road,601037,HUP Rebuilding,,37A,,D50987C77B5B66E7,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),,3/1/2008,Existing,33678.4,17936.37,
19/10/1974,"103.818641695106,1.27736683810318,0.0",,20221012163049,"Blk 11, Telok Blangah Crescent, Singapore 090011",Telok Blangah Crescent,90011,HUP Standard Upgrading,,11,,917DDC2ADEC4B825,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),,15/1/2010,Existing,28870.26,26366.58,
7/7/2000,"103.904260878989,1.32033178221424,0.0",,20221012163049,"Blk 4A, Eunos Crescent, Singapore 402004",Eunos Crescent,402004,HUP Standard Upgrading,,4A,,E0DC5CBB7B498031,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg,Eunos Crescent Blk 4A,,30/3/2012,Existing,33621.21,35895.18,
30/5/1977,"103.807626838954,1.27336828250285,0.0",,20221012163049,"Blk 79, Telok Blangah Drive, Singapore 100079",Telok Blangah Drive,100079,HUP Standard Upgrading,,79,,47E27FD727EB0084,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),,20/8/2005,Existing,28428.13,25140.71,
1976,"103.831189303546,1.29234216757957,0.0",1421.31,20221012163049,"70, Zion Road, Singapore 247792",Zion Road,247792,HUP Standard Upgrading,,70,,41709ABE04DAC74D,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg,Zion Riverside Food Centre,,5/3/2003,Existing,30526.15,27763.03,
2023,"103.872090241567,1.3397961360031,0.0",,20221012163049,,Woodleigh Link,363202,New Centre,Woodleigh Village,202C,30/6/2017,7729E118EFF3ED34,,Woodleigh Village Hawker Centre,hawker centre/flats/bus interchange,,Under Construction,35773.4,32314.87,21/7/2017
2023,"103.888489618777,1.39691417603694,0.0",,20221012163049,,Anchorvale Road,540339,New Centre,Anchorvale Village,339,27/4/2018,F50A43DB6145A0FA,,Anchorvale Village Hawker Centre,hawker centre/supermarket/shops/flats,,Under Construction,42089.26,34139.8,28/5/2018
2024,"103.908252830309,1.41456688638677,0.0",,20221012163049,,Ponggol Seventeenth Avenue,,New Centre,,,8/8/2019,9EA0132CAE64DE82,,Punggol Digital District Hawker Centre,hawker centre/community club/bus interchange/childcare centre/JTC industrial units,,Under Construction,44041.27,36339.12,21/8/2019
31/1/1999,"103.792773765463,1.30811775909823,0.0",,20221012163049,"Blk 44, Holland Drive, Singapore 270044",Holland Drive,270044,HUP Standard Upgrading,,44,,A15ED2B9558FE12C,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg,Holland Drive Blk 44 (Holland Drive Market and Food Centre),,31/3/2014,Existing,32270.57,23487.74,
Pre-War,"103.794862936127,1.31090802808558,0.0",1512.38,20221012163049,"1, Lorong Mambong, Singapore 277700",Lorong Mambong,277700,HUP Rebuilding,,1,,69A5ED122EAF38CA,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg,Holland Village Market and Food Centre,,12/12/2005,Existing,32579.1,23720.25,
30/6/1982,"103.890081064953,1.35383739101169,0.0",,20221012163049,"Blk 105, Hougang Ave 1, Singapore 530105",Hougang Ave 1,530105,HUP Rebuilding,,105,,47665F144FEA20A5,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901634108.jpg,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),,11/11/2005,Existing,37326.05,34317.02,
30/9/1983,"103.885977616903,1.35911942212642,0.0",,20221012163049,"Blk 209, Hougang Street 21, Singapore 530209",Hougang Street 21,530209,HUP Standard Upgrading,,209,,5F6AEDB70E5BFDB0,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849628846.jpg,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),,24/1/2011,Existing,37910.1,33860.34,
3/1/1969,"103.88394058022,1.30241881353449,0.0",,20221012163049,"Blk 4A, Jalan Batu, Singapore 432004",Jalan Batu,432004,HUP Standard Upgrading,,4A,,551478E0E33D084E,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),,16/2/2012,Existing,31640.43,33633.77,
1/1/1969,"103.826013285715,1.28000481198881,0.0",,20221012163049,"Blk 112, Jalan Bukit Merah, Singapore 160112",Jalan Bukit Merah,160112,HUP Standard Upgrading,,112,,F6CA40B9C1F55859,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),,28/11/2013,Existing,29161.95,27186.98,
11/10/1974,"103.808127999318,1.28695275198944,0.0",,20221012163049,"Blk 6, Jalan Bukit Merah, Singapore 150006",Jalan Bukit Merah,150006,HUP Reconfiguration,,6,,D9BD256F984769CE,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),,11/8/2006,Existing,29930.23,25196.5,
21/1/1969,"103.839945947186,1.28823055540002,0.0",,20221012163049,"Blk 1, Jalan Kukoh, Singapore 161001",Jalan Kukoh,161001,HUP Standard Upgrading,,1,,8943084A09FFC63A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),,4/10/2010,Existing,30071.51,28737.57,
17/10/1984,"103.731579747132,1.34531247026793,0.0",,20221012163049,"Blk 347, Jurong East Ave 1, Singapore 600347",Jurong East Ave 1,600347,HUP Standard Upgrading,,347,,6C864243765870B9,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),,31/12/2002,Existing,36383.57,16677.58,
30/4/1983,"103.737781231485,1.34344213770991,0.0",,20221012163049,"Blk 254, Jurong East Street 24, Singapore 600254",Jurong East Street 24,600254,HUP Reconfiguration,,254,,037A6F1EA418B88F,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),,5/7/2006,Existing,36176.73,17367.73,
28/7/2017,"103.697404254467,1.3412597060095,0.0",2987,20221012163049,"Blk 50, Jurong West St 61, Singapore 648202",Jurong West Street 61,648202,New Centre,Jurong West Hawker Centre,50,23/9/2015,A85BCE9D8344CCD9,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg,Jurong West Hawker Centre,,,Under Construction,35935.62,12874.19,15/10/2015
16/1/1985,"103.71844754363,1.34964224318434,0.0",,20221012163049,"Blk 505, Jurong West Street 52, Singapore 640505",Jurong West Street 52,640505,HUP Standard Upgrading,,505,,0AE38DCC13D11E52,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg,Jurong West Street 52 Blk 505,,2/1/2009,Existing,36862.4,15216.13,
1959,"103.884130183315,1.30739616009942,0.0",2629.19,20221012163049,"17, Old Airport Road, Singapore 397972",Old Airport Road,397972,HUP Standard Upgrading,,17,,2F0C2533A9564FAF,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg,Kallang Estate Fresh Market and Food Centre,,31/10/2003,Existing,32190.8,33654.86,
4/4/1972,"103.818338919994,1.28733076703987,0.0",,20221012163049,"Blk 85, Redhill Lane, Singapore 150085",Redhill Lane,150085,HUP Reconfiguration,,85,,1D515CA5BF8C1199,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg,Redhill Lane Blk 85 (Redhill Food Centre),,17/6/2005,Existing,29972.02,26332.89,
8/5/2017,"103.800696448529,1.43993283228134,0.0",3440,20221012163049,"Blk 676, Woodlands Drive 71, Singapore 730676",Woodlands Drive 71,730676,New Centre,Kampung Admiralty,676,17/10/2014,8E56FA1F3FFB53FC,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg,Kampung Admiralty Hawker Centre,studio apartments/supermarket/shops/specialist centre/senior care centre/child care centre/senior activity centre,,Existing (new),46846,24369.66,1/4/2014
23/8/1976,"103.906338526157,1.30228513841822,0.0",,20221012163049,"Blk 84, Marine Parade Central, Singapore 440084",Marine Parade Central,440084,Opted out of HUP,,84,,069C7A0AFC199D59,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),,,Existing,31625.71,36126.46,
3/3/1975,"103.915761950557,1.30577514781108,0.0",,20221012163049,"Blk 50A, Marine Terrace, Singapore 441050",Marine Terrace,441050,HUP Standard Upgrading,,50A,,6834B4900CE3CB58,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg,Marine Terrace Blk 50A (50A Marine Terrace),,22/12/2008,Existing,32011.65,37175.19,
15/9/1975,"103.777203165702,1.44388181695611,0.0",,20221012163049,"Blk 20/21, Marsiling Lane, Singapore 730020/730021",Marsiling Lane,730020,HUP Standard Upgrading,,20/21,,F48BB5AA17D51CAD,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg,Marsiling Lane Blk 20/21,,2/3/2009,Existing,47282.71,21755.23,
1935,"103.844827863123,1.28011223513205,0.0",3365.392,20221012163049,"1, Kadayanallur Street, Singapore 069184",Kadayanallur Street,69184,Upgraded prior to HUP,,1,,FE75522D9D2BF902,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg,Maxwell Food Centre (Kim Hua Market),,,Existing,29173.83,29280.89,
12/10/1970,"103.802903901116,1.29323622090658,0.0",,20221012163049,"Blk 159, Mei Chin Road, Singapore 140159",Mei Chin Road,140159,HUP Reconfiguration,,159,,58C10BCC40715F33,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,Mei Chin Road Blk 159 (Mei Chin Road Market),,8/5/2009,Existing,30625.03,24615.11,
1965,"103.842578750107,1.28499102169498,0.0",,20221012163049,"Blk 32, New Market Road, Singapore 050032",New Market Road,50032,HUP Standard Upgrading,,32,,431889D3F61E7C5D,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg,New Market Road Blk 32 (People's Park Food Centre),,27/12/2005,Existing,29713.3,29030.58,
15/11/2014,"103.93056047823,1.32473884451035,0.0",,20221012163049,"Blk 208B, New Upper Changi Road, Singapore 462208",New Upper Changi Road,462208,New Replacement Centre,,208B,,03BAD66584E9FC8A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,New Upper Changi Road Blk 208B,,,Existing,34108.62,38822.05,
