EST_ORIGINAL_COMPLETION_DATE,coordinates,APPROXIMATE_GFA,FMEL_UPD_D,ADDRESS_MYENV,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,DESCRIPTION,ADDRESSBUILDINGNAME,ADDRESSBLOCKHOUSENUMBER,AWARDED_DATE,INC_CRC,PHOTOURL,NAME,INFO_ON_CO_LOCATORS,HUP_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,LANDXADDRESSPOINT,IMPLEMENTATION_DATE
19/7/1967,"103.849513484035,1.3384747524617,0.0",,20221012163049,"Blk 93, Lorong 4 Toa Payoh, Singapore 310093",Lorong 4 Toa Payoh,310093,HUP Standard Upgrading,,93,,8ED7D817636ABBB7,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg,Toa Payoh Lorong 4 Blk 93,,20/7/2009,Existing,35627.26,29802.32,
5/2/1968,"103.852941556275,1.33603882157063,0.0",,20221012163049,"Blk 75, Lorong 5 Toa Payoh, Singapore 310075",Lorong 5 Toa Payoh,310075,HUP Standard Upgrading,,75,,83FB95F6510F538F,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg,Toa Payoh Lorong 5 Blk 75,,21/11/2012,Existing,35357.91,30183.83,
2/3/1970,"103.857036007166,1.33523145909678,0.0",,20221012163049,"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",Lorong 7 Toa Payoh,310022,HUP Reconfiguration,,22,,E43A2111E04577EC,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),,16/7/2004,Existing,35268.64,30639.5,
27/8/1974,"103.854395279214,1.3402608349586,0.0",,20221012163049,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",Lorong 8 Toa Payoh,310210,HUP Standard Upgrading,,210,,AD6CE850859DDDC3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg,Toa Payoh Lorong 8 Blk 210,,30/9/2011,Existing,35824.76,30345.61,
28/2/1974,"103.871620273635,1.31502804429519,0.0",,20221012163049,"Blk 17, Upper Boon Keng Road, Singapore 380017",Upper Boon Keng Road,380017,HUP Standard Upgrading,,17,,5A26A7AC50F3A9B5,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),,13/1/2009,Existing,33034.67,32262.61,
28/1/1978,"103.845818885585,1.28524640047048,0.0",,20221012163049,"Blk 531A, Upper Cross Street, Singapore 051531",Upper Cross Street,51531,HUP Reconfiguration,,531A,,A6069393A97212DA,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg,Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),,9/3/2011,Existing,29741.54,29391.18,
19/1/1995,"103.759166093858,1.31188972115897,0.0",,20221012163049,"Blk 502, West Coast Drive, Singapore 120502",West Coast Drive,120502,Not eligible for HUP,,502,,2DBB0A9FC85826E3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg,West Coast Drive Blk 502 (Ayer Rajah Market),,,Existing,32687.74,19747.53,
26/3/1979,"103.759751321019,1.31180301004196,0.0",,20221012163049,"Blk 503, West Coast Drive, Singapore 120503",West Coast Drive,120503,HUP Standard Upgrading,,503,,7A27983404FB5BA2,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg,West Coast Drive Blk 503 (Ayer Rajah Food Centre),,15/12/2002,Existing,32678.15,19812.66,
26/8/1976,"103.855137696535,1.32294306204189,0.0",,20221012163049,"Blk 90, Whampoa Drive, Singapore 320090",Whampoa Drive,320090,HUP Standard Upgrading,,90,,16F08FA02D2A5DE5,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154207158.jpg,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),,25/10/2007,Existing,33909.85,30428.25,
3/1/1973,"103.85406806286,1.32342175143826,0.0",,20221012163049,"Blk 91/92, Whampoa Drive, Singapore 320091/320092",Whampoa Drive,320091,HUP Standard Upgrading,,91/92,,38A4F531F9CF7A4C,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154257763.jpg,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),,25/10/2007,Existing,33962.78,30309.21,
3/7/2017,"103.844747581861,1.42501763803265,0.0",3364,20221012163049,"Blk 51, Yishun Avenue 11, Singapore 768867",Yishun Avenue 11,768867,New Centre,Yishun Park Hawker Centre,51,23/10/2015,2676B659B081726B,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/yishun-hawker-centre.jpg,Yishun Park Hawker Centre,,,Existing (new),45196.73,29271.88,25/11/2015
31/3/1984,"103.828537609942,1.43144768831222,0.0",,20221012163049,"Blk 104/105, Yishun Ring Road, Singapore 760104/760105",Yishun Ring Road,760104,HUP Standard Upgrading,,104/105,,A75CB1D5E4C5BBE2,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267438077554.jpg,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),,4/8/2003,Existing,45907.73,27467.95,
