Polygon Name
104° 20’ 00” E
104° 40’ 00” E
1° 14’ 30” N
1° 29’ 30” N
ABC WATERS @ KALLANG RIVER
ADMIRALTY PARK
ALEXANDRA CANAL
ANG MO KIO TOWN GARDEN WEST
BALAI QUARRY
BATU BELALAI
BEDOK RESERVOIR
BEDOK RESERVOIR PARK
BISHAN - ANG MO KIO PARK
BUKIT BATOK NATURE PARK
BUKIT BATOK TOWN PARK
BUKIT TIMAH NATURE RESERVE
BUKIT TIMAH SECOND DIVERSION CANAL
CANAL
CAUSEWAY (JOHOR)
CAUSEWAY (SINGAPORE)
CENTRAL CATCHMENT NATURE RESERVE
CHANGI BEACH PARK
CHANGI CREEK
CHANGI CREEK RESERVOIR
CHESTNUT NATURE PARK
CHUNG CHENG LAKE
CONEY ISLAND PARK
CORAL ISLAND
DAIRY FARM NATURE PARK
DOCK NO. 2
EAST COAST PARK AREA B
EAST COAST PARK AREA C
EAST COAST PARK AREA E
EAST COAST PARK AREA F
ECO-LAKE
FORT CANNING PARK
FORT CANNING SERVICE RESERVOIR
GARDENS BY THE BAY
GARDENS BY THE BAY (BAY EAST GARDEN)
GARDENS BY THE BAY (DRAGONFLY LAKE)
GEYLANG RIVER
HINDHEDE NATURE PARK
HINDHEDE QUARRY
HORTPARK
INSET
ISLET
JOHOR (MALAYSIA)
JURONG BIRD PARK
JURONG ISLAND
JURONG LAKE
JURONG LAKE GARDENS – LAKESIDE GARDEN
KALLANG RIVER
KEKEK QUARRY
KENT RIDGE PARK
KETAM MOUNTAIN BIKE PARK
KETAM QUARRY
KING GEORGE VI DOCK
KRANJI MARSHES
KRANJI NATURE TRAIL
KRANJI RESERVOIR
KUSU ISLAND (PULAU TEMBAKUL)
LABRADOR NATURE RESERVE
LAKE
LAKE(LITTLE GUILIN)
LINKWAY
LINKWAY (JOHOR)
LINKWAY (SINGAPORE)
LITTLE INDIA
LOWER PEIRCE RESERVOIR
LOWER PEIRCE RESERVOIR PARK
LOWER SELETAR RESERVOIR
MACRITCHIE RESERVOIR
MACRITCHIE RESERVOIR PARK
MARINA BAY
MARINA PROMENADE
MARINA RESERVOIR
MOUNT FABER PARK
MURAI RESERVOIR
MURNANE RESERVOIR
MY WATERWAY@PUNGGOL
NIGHT SAFARI
Not to Scale
PANDAN RESERVOIR
PANG SUA POND
PARADISE ISLAND
PASIR RIS PARK
PEARL ISLAND
PEARL'S HILL CITY PARK
PEARL'S HILL RESERVOIR
PEDRA BRANCA
PEDRA BRANCA  (HORSBURGH LIGHTHOUSE)
PEKAN QUARRY
PELTON CANAL
POND
POYAN RESERVOIR
PULAU ANAK BUKOM
PULAU BERKAS
PULAU BIOLA
PULAU BRANI
PULAU BUKOM
PULAU BUKOM KECHIL
PULAU BULOH
PULAU BUSING
PULAU DAMAR LAUT
PULAU HANTU
PULAU JONG
PULAU KEPPEL
PULAU KETAM
PULAU PALAWAN
PULAU PAWAI
PULAU PERGAM
PULAU PUNGGOL BARAT
PULAU PUNGGOL TIMOR
PULAU RENGGIS
PULAU SAKIJANG BENDERA (SAINT JOHN'S ISLAND)
PULAU SAKIJANG PELEPAH (LAZARUS ISLAND)
PULAU SALU
PULAU SAMULUN
PULAU SARIMBUN
PULAU SATUMU (RAFFLES LIGHTHOUSE)
PULAU SEBAROK
PULAU SEKUDU
PULAU SELETAR
PULAU SEMAKAU
PULAU SENANG
PULAU SERANGOON (CONEY ISLAND)
PULAU SERINGAT (PULAU RENGET)
PULAU SERINGAT KECHIL
PULAU SUBAR DARAT (SISTERS' ISLAND)
PULAU SUBAR LAUT
PULAU SUDONG
PULAU TEKONG
PULAU TEKONG KECHIL
PULAU TEKONG RESERVOIR
PULAU TEKUKOR
PULAU UBIN
PULAU UBIN RECREATION AREA
PULAU ULAR
PUNGGOL PARK
PUNGGOL RESERVOIR
PUNGGOL WATERWAY PARK
QUEEN'S DOCK
RESERVOIR
RIFLE RANGE NATURE PARK
ROCHOR RIVER
SALT WATER LAKE
SANDY ISLAND
SARIMBUN RESERVOIR
SEMBAWANG PARK
SENGKANG RIVERSIDE PARK
SENTOSA
SERANGOON RESERVOIR
SIGLAP CANAL
SINGAPORE - MAIN ISLAND
SINGAPORE BOTANIC GARDENS
SINGAPORE QUARRY
SINGAPORE RIVER
SINGAPORE ZOO
SISTERS' ISLAND MARINE PARK
SOUTH CHINA SEA
SOUTHERNMOST POINT OF ASIA CONTINENT
SULTAN SHOAL
SUNGEI APEK
SUNGEI API API
SUNGEI BEDOK
SUNGEI BESAR
SUNGEI BLUKAR
SUNGEI BULOH BESAR
SUNGEI BULOH WETLAND RESERVE
SUNGEI CHANGI
SUNGEI JELUTONG
SUNGEI JURONG
SUNGEI KANGKAR
SUNGEI KETAPANG
SUNGEI LANCHAR
SUNGEI PANDAN
SUNGEI PINANG
SUNGEI PUNGGOL
SUNGEI SELETAR
SUNGEI SELETAR SIMPANG KIRI
SUNGEI SEMBAWANG
SUNGEI SERANGOON
SUNGEI SIMPANG MAK WAI
SUNGEI TAMPINES
SUNGEI TENGAH
SUNGEI ULU PANDAN
SUNGEI WHOMPOA
SWAN LAKE
SYMPHONY LAKE
TAMPINES ECO GREEN PARK
TAMPINES QUARRY
TELOK BLANGAH HILL PARK
TENGEH RESERVOIR
THOMSON NATURE PARK
TREASURE ISLAND
UBIN QUARRY
UPPER PEIRCE RESERVOIR
UPPER PEIRCE RESERVOIR PARK
UPPER SELETAR RESERVOIR
WEST COAST PARK
WINDSOR NATURE PARK
YISHUN PARK
YISHUN POND
